[main_menu]|en|ru
new_version|There is a new version available.|Доступна новая версия.
update_game|Update your game.|Обновите игру.
account_disabled|Your account has been disabled.|ваш аккаунт был заблокирован.
moderator_kicked|You have been kicked out by a moderator.|вы были исключены модератором.
reason|Reason|Причина
logged_in_elsewhere|Your account has logged in elsewhere.|в вашу учетную запись вошли с другого устройства.
support_120hz|Please make sure your setup supports 120Hz to avoid performance issues.|Убедитесь, что ваше оборудование поддерживает 120 Гц во избежание проблем с производительностью.
support_144hz|Please make sure your setup supports 144hz to avoid performance issues.|Убедитесь, что ваше оборудование поддерживает 144 Гц во избежание проблем с производительностью.
privacy_policy|Privacy Policy|Политика конфиденциальности
eula|Eula|Лицензионное соглашение
privacy_policy_msg1|We have updated our Privacy Policy.|Мы обновили политику конфиденциальности.
privacy_policy_msg2|Please review and accept the changes to continue|Пожалуйста, ознакомьтесь с изменениями и примите их, чтобы продолжить.
privacy_policy_agree|I have read and agree both the EULA and the Privacy Policy.|Я подтверждаю, что прочитал и принимаю условия соглашения и политики конфиденциальности.
privacy_policy_must_agree|EULA and Privacy Policy must be agreed to register.|Для регистрации необходимо принять условия соглашения и политики конфиденциальности.
privacy_policy_ok|Ok, I accept.|Да, я принимаю.
privacy_policy_not_ok|No, I don't accept.|Нет, я не принимаю.
privacy_policy_i_agree|I agree|Согласен
account_link_understand|I agree to linking the registered account to my platform account.|Я согласен привязать учетную запись PanicNet к аккаунту текущей платформы.
account_link_must_understand|In order to register a PanicNet account you must agree to link the account to your platform account.|Чтобы зарегистрировать аккаунт PanicNet, необходимо дать согласие на его привязку к аккаунту платформы.
wormhole_error|Error loading wormhole.|Ошибка загрузки червоточины.
wormhole_disabled|Season wormholes are currently disabled.|Сезонные червоточины сейчас отключены.
wormhole_awarded_start|You have been awarded|вам присужден
wormhole_awarded_end_one|Wormhole Level!|уровень червоточины!
wormhole_awarded_end_many|Wormhole Levels!|уровня червоточины!
unstable_rift_waves|Unstable Rift Waves:|Волны нестабильного разлома:
unstable_rift_cleared|Unstable Rift Cleared|Нестабильный разлом зачищен
legacy|Legacy|Наследие
event|Event|Событие
player_two_press|Player 2 press|Игрок 2, нажмите
player_two_join|to join.|чтобы присоединиться.
coop_exit_press|Press|Нажмите
coop_exit_text|to exit Coop|чтобы выйти из совместной игры
guild_invite|Invite to guild|Пригласить в гильдию
guild_promote|Guild Promote|Повысить ранг в гильдии
guild_demote|Guild Demote|Понизить ранг в гильдии
guild_remove|Guild Remove|Распустить гильдию
guild_rep|Guild Reputation|Репутация в гильдии
friendly|Friendly|Дружелюбие
honored|Honored|Уважение
revered|Revered|Почтение
exalted|Exalted|Превознесение
no_players_found|No players found|Игроки не найдены
error|Error|Ошибка
warning|Warning|Внимание
lost_connection|Lost connection|Соединение потеряно
in_different_zone|is in a different zone!|находится в другой зоне!
trade_must_be_in_town|Must be in town to trade.|Для торговли нужно находиться в городе.
sell_prompt|Are you sure you want to sell?|вы уверены, что хотите продать это?
sell_all_prompt|Are you sure you want to sell all items in this category?|вы уверены, что хотите продать все предметы в этой категории?
angelic_upgrade_prompt|Are you sure you want to upgrade this item?|вы уверены, что хотите улучшить этот предмет?
angelic_upgrade_cancel|Are you sure you want to cancel the upgrade? The chest will be consumed and cannot be opened again.|вы уверены, что хотите отменить улучшение? Сундук будет безвозвратно потрачен.
attempts_remaining|Attempts remaining:|Осталось попыток:
minute|Minute|Минута
minutes|Minutes|Минуты
insert_coin|Insert Coin!|Вставьте монету!
dig_treasure|Dig for David's treasure!|Отыщите сокровища Дэвида!
dig|Dig|Копать
whisper|Whisper|Шепот
msg_cant_connect_global|Can't connect to the chat server.|Не удалось подключиться к серверу чата.
msg_cant_connect_guild|Can't connect to guild chat server.|Не удалось подключиться к серверу чата гильдии.
msg_cant_connect_blood_pact|Can’t connect to Blood Pact chat server.|Не удалось подключиться к серверу чата Кровавого договора.
msg_welcome|Welcome to Hero Siege global chat!|Добро пожаловать в глобальный чат Hero Siege!
msg_help|Type /help for commands.|Введите /help, чтобы просмотреть команды.
msg_time|Time|Время
msg_date|Date|Дата
msg_parental_control|Parental control is enabled. Communication is not allowed for this user on this device.|Родительский контроль включен. На этом устройстве общение для данного пользователя ограничено.
msg_spam|Too many messages. Wait [time] seconds.|Слишком много сообщений. Подождите [время] сек.
msg_not_in_guild|You are not in a guild.|Вы не состоите в гильдии.
msg_status_low|Your guild status is too low.|Ваш статус в гильдии слишком низок.
msg_playername|player name|имя игрока
msg_message|message|сообщение
msg_whisper|to whisper|шептать
msg_reply|to reply to a whisper|ответить на шепот
msg_game_invite|to send a game invite|пригласить в игру
msg_guild_invite|to send a guild invite|пригласить в гильдию
msg_mute|to mute a player|заглушить игрока
msg_unmute|to unmute a player|вернуть голос игроку
msg_roll|to roll a number (0-100)|выбросить число (0-100)
msg_promoted|You have been promoted!|Ваш ранг повышен!
msg_demoted|You have been demoted.|Ваш ранг понижен.
msg_removed|You have been removed from the guild.|Вас исключили из гильдии.
msg_voted_reset|Voted for reset|Голос за обновление подан
msg_removed_vote|Removed their reset vote.|Голос за обновление отозван
msg_invited|has invited you to join game|приглашает вас присоединиться к игре
msg_joined|joined!|присоединился!
msg_left|left!|покинул игру!
msg_died|died!|погиб!
msg_grave|The final resting place:|Место последнего упокоения:
gaben_event|Gaben walks the earth...|Габен ступил на землю...
ping_timeout|Ping timeout.|Превышено время ожидания ответа (Ping).
revive|Revive|Воскресить
respawn|Respawn|Возродиться
magic_rubies|Magic Rubies|Магические рубины
black_market|Black Market|Черный рынок
mystery_hat_equip|You just looted a Mystery Hat, would you like to equip it?|Вы нашли загадочную шляпу. Хотите надеть ее?
color_picker_current|Current Color|Текущий цвет
altar_um|Um's Altar|Алтарь Ума
quest_take_one|Take one!|Возьмите один!
quest_choose|Choose wisely!|Выбирайте с умом!
prompt_name_empty|The name field cannot be empty!|Поле имени не может быть пустым!
prompt_delete_guild|Are you sure you want to delete this guild?|Вы уверены, что хотите распустить эту гильдию?
prompt_black_market_buy|Are you sure you want to buy?|Вы уверены, что хотите совершить покупку?
prompt_market_remove_item|Are you sure you want to remove this listing?|Вы уверены, что хотите удалить этот лот?
page|Page|Страница
minion_resurrect|Resurrect Mercenary|Воскресить наемника
minion_discharge|Discharge Mercenary|Уволить наемника
minion_discharge_confirm|Are you sure you want to discharge your mercenary?|Вы уверены, что хотите уволить своего наемника?
minion_use|Use Mercenary|Использовать наемника
minion_buy|Hire Mercenary|Нанять наемника
minion_melee|Knight|Рыцарь
minion_ranged|Archer|Лучник
minion_spell|Magister|Магистр
keyboard_backspace|Backspace|Backspace
take_cover|TAKE COVER!|В УКРЫТИЕ!
mystery_chest_hat|Mystery Chest Hat|Шляпа из загадочного сундука
requires_verification|Requires account verification|Требуется подтверждение аккаунта
requires_product|Requires product : |Требуется продукт: 
requires_steam_item|Requires steam item|Требуется предмет Steam
unavailable|Unavailable|Недоступно
share_data|Share Gameplay Data|Сбор игровой статистики
show_border|Show HUD Border|Показать границы HUD
field_of_view|Field of View|Поле зрения
joystick_opacity|Joystick Opacity|Прозрачность джойстика
restore_purchases|Restore Purchases|Восстановить покупки
ascendancy|Ascendancy|Восхождение
attack_stick|Attack Stick|Стик атаки
move_stick|Move Stick|Стик движения
free|Free|Бесплатно
magic_mushroom|Magic Mushroom|Магический гриб
per|Per|За
inv_merc|Inventory Mercenary|Инвентарь наемника
inv_secondary|Inventory Secondary|Вторичный инвентарь
vsync|VSync|Верт. синхронизация
no_shield|No shield!|Без щита!
scrap|Scrap|Лом
combine|Combine|Объединить
dual_wield|Dual Wield|Парное оружие
soulbound|Herobound|Привязано к герою
inventory_sort_tab|Sort Tab|Сортировать
inventory_autofill_belt|Autofill belt|Автозаполнение пояса
inventory_useall_belt|Use All Slots|Использовать все ячейки
split_stack|Split Stack|Разделить стопку
request_refund|Request Refund|Запросить возврат
||
[Short stat names]||
stat_movement_speed|Movement Speed|Скорость передвижения
stat_ruby_drops|Ruby Drops|Выпадение рубинов
stat_experience|Experience|Опыт
||
[Loot names]||
loot_body_part|Body part|Часть тела
loot_brick|Brick|Кирпич
loot_christmas_star|Christmas Star|Рождественская звезда
loot_christmas_tree|Christmas Tree|Рождественская елка
loot_coffee_beans|Coffee Beans|Кофейные зерна
loot_coffee_mug|Coffee Mug|Кружка кофе
loot_mystery_hat|Mystery Hat|Загадочная шляпа
loot_mystery_wings|Mystery Wings|Загадочные крылья
loot_pile_of_socks|Pile of Socks|Груда носков
loot_snowman_head|Snowman's Head|Голова снеговика
loot_skeleton_bone|Skeleton Bone|Кость скелета
loot_bards_guitar|Bard's Guitar|Гитара барда
loot_moonshine|Moonshine|Самогон
loot_beer|Beer|Пиво
loot_wine|Wine|Вино
loot_grapes|Grapes|Виноград
loot_metal_debris|Metal Debris|Обломки металла
loot_essence|Essence|Эссенция
loot_gemstone|Rainbow Gemstone|Радужный самоцвет
loot_braggite|Braggite|Брэггит
loot_corrupted_dirt|Corrupted Dirt|Оскверненная земля
loot_hogmeat|Delicious Hog Meat|Вкусная свинина
loot_doom_weed|Doom Weed|Роковая трава
loot_essence_of_gods|Essence of the Gods|Эссенция богов
loot_naga_scale|Naga Scale|Чешуя наги
loot_cart_wheel|Mining Cart Wheel|Колесо шахтной тележки
loot_golden_statue|Golden Warrior Statue|Золотая статуя воина
loot_naga_amulet|Golden Snake Amulet|Золотой амулет змеи
loot_hero_skull|Hero Skull|Череп героя
loot_fat_pumpkin|Fat Pumpkin|Увесистая тыква
loot_maggot_corpse|Yummy maggot|Вкусная личинка
loot_spellbook_ahriman|Mysterious spellbook|Таинственный гримуар
loot_ginseng|Ginseng|Женьшень
loot_loska|Loska|Лоска
loot_frost_dill|Frost Dill|Морозный укроп
loot_vermroot|Vermroot|Чернокорень
loot_fanglen|Fanglen|Фэнглен
loot_carnage_track|Bear tracks|Медвежьи следы
loot_jaspers_whip|Jasper's Whip|Кнут Джаспера
loot_staff_map|Old Map|Старая карта
loot_devils_cabbage|Devil's Cabbage|Дьявольская капуста
loot_empty_mining_cart|Empty Mining Cart|Пустая шахтерская тележка
loot_sturdy_bamboo|Sturdy Bamboo|Прочный бамбук
loot_aki_workbench|Aki's Workbench|Верстак Аки
loot_spiderweb|Thick Spiderweb|Плотная паутина
loot_metal_hook|Metal Hook|Металлический крюк
loot_eternal_chalice|The Eternal Chalice|Вечная чаша
loot_soul|Lost Soul|Потерянная душа
loot_sealed_grave|Seal of Eternity|Печать вечности
||
||
[Marketplace]||
sell_item|Sell item|Продать предмет
buy_item|Buy item|Купить предмет
remove_item|Remove item|Снять с продажи
claim_rubies|Claim rubies|Забрать рубины
search|Search|Поиск
sort|Sort|Сортировка
get_items|Get items|Получить предметы
get_own_items|My listings|Мои лоты
type|Type|Тип
damage_type|Damage type|Тип урона
rarity|Rarity|Редкость
expired|Expired|Истекло
unit_price|Unit Price|Цена за единицу
listed|Listed|Выставлено
bought|Bought|Куплено
market_items_sold|You have sold items in the market|Вы продали товары на рынке
market_items_expired|You have expired items in the market|Срок размещения ваших товаров на рынке истек
market_tax|7% tax on sale completion|Налог 7% при завершении сделки
market_connect|Connection to the marketplace failed.|Не удалось подключиться к торговому прилавку.
market_limit_reached|Apply search terms or filters to narrow your results.|Используйте фильтры или условия поиска, чтобы уточнить результаты.
market_list_filled|No more results found with current criteria.|По текущим критериям больше ничего не найдено.
market_send_full|You can sell 10 items at a time|Вы можете выставить на продажу не более 10 предметов одновременно
market_pending|Pending confirmation from the buyer|Ожидание подтверждения от покупателя
market_instructions_welcome|[c_coin]Welcome to the Tarethiel Marketplace|[c_coin]Добро пожаловать на рынок Таретиэля
market_instructions_tax|The tax is 1% when listing items and 10% when claiming a sold listing.|Налог составляет 1% при выставлении лота и 10% при получении оплаты за проданный товар.
market_instructions_expiration|Listings that are older than 30 days will be permanently deleted if they are not claimed or recalled.|Объявления старше 30 дней будут удалены безвозвратно, если товары не будут востребованы или отозваны.
market_critical_error|Network communication data was lost. The Marketplace will be closed.|Связь с сетью потеряна. Торговая площадка будет закрыта.
market_closed|Market is currently closed. Please try again later.|Рынок сейчас закрыт. Пожалуйста, попробуйте позже.
steam_scrap_confirm|Are you sure you want to scrap this item? This will cause the item to be permanently destroyed. |Вы уверены, что хотите разобрать этот предмет? Это приведет к его безвозвратному уничтожению.
claim_keys|Claim keys|Получить ключи
claim|Claim |Забрать
challenge_dungeon|Challenge Dungeon|Подземелье испытаний
open|Open|Открыть
overrides|Overrides|Замены
ability|Ability|Умение
mail_send|Send|Отправить
mail_recipient|Recipient|Получатель
mail_title|Title|Тема
mail_send_new|Send new mail|Написать письмо
mailbox|Mailbox|Почтовый ящик
mailbox_closed|Mailbox is currently closed. Please try again later.|Почтовый ящик сейчас закрыт. Пожалуйста, попробуйте позже.
mail_delete_prompt|Are you sure you want to delete this mail? This cannot be undone.|Вы уверены, что хотите удалить это письмо? Это действие нельзя отменить.
chaos_tower_highscores|Chaos Tower Highscores|Рекорды Башни Хаоса
season_first_to_100|Season first to level 100|Первые в сезоне (100-й уровень)
gold_cap_trade|You would go over the account's gold limit!|Вы превысите лимит золота на аккаунте!
gold_cap_reached|Gold cap reached!|Достигнут лимит золота!
mail_claim_gold_limit|Mail could not be claimed. Gold limit reached!|Не удалось забрать вложение. Достигнут лимит золота!
ferry_coop_present|All players must be present to board the ferry!|Для посадки на паром должны присутствовать все игроки!
||
[Companions]||
companion_name_1|Corgi|Корги
companion_name_2|Turtle|Черепаха
companion_name_3|Slime|Слизь
companion_name_4|Stickman Steve|Стикмен Стив
companion_name_5|Dodo|Додо
companion_name_6|Sir Penguin|Сэр Пингвин
companion_name_7|Random Goose|Случайный гусь
companion_name_8|Baby Cactus|Малыш-кактус
companion_name_9|Spooky Scary Skeleton|Зловещий скелет
companion_name_10|Black Cat|Черная кошка
companion_name_11|Floating Pumpkin Head|Парящая тыквенная голова
companion_name_12|Snowman|Снеговик
companion_name_13|Elf|Эльф
companion_name_14|Rudolph|Рудольф
companion_name_15|Helicopter Drone|Вертолет-дрон
companion_name_16|Clockwork Dragon|Заводной дракон
companion_name_17|Steam Powered Wolf|Паровой волк
companion_name_18|Wooden Spiderbot|Деревянный паук-автоматон
companion_name_19|Mini Chaos Tower|Мини-башня Хаоса
companion_name_20|Heavenly Dove|Небесный голубь
companion_name_21|Eternal Protector|Вечный защитник
companion_name_22|Pride of the Order of Angels|Гордость Ордена Ангелов
companion_name_23|Angel & Devil|Ангел и Демон
companion_name_24|Lost Soul|Скитающаяся душа
companion_name_25|Armored Polar|Латный полярный зверь
companion_name_26|Burning Server|Пылающий сервер
companion_name_27|Raven|Ворон
companion_name_28|Grizzly Bear|Лютый гризли
companion_name_29|Fenrir|Фенрир
companion_name_30|Shadow Wolf|Волк из тени
companion_name_31|Lil' Prophet|Младый пророк
companion_name_32|Molten Drake|Магмовый дрейк
companion_name_33|Corrupted Crow|Оскверненная ворона
companion_name_34|Summoned Beast|Призванная бестия
companion_name_35|Alice|Алиса
companion_name_36|Black Goat|Черный козел
companion_name_37|Ritual Mask|Ритуальная маска
companion_name_38|Chroma Wolf|Хроматический волк
companion_name_39|Pug|Мопс
companion_name_40|Bober|Бобёр
companion_name_41|Monkey|Обезьяна
companion_name_42|Astral Deer|Эфирный олень
companion_name_43|Celestial Raven|Небесный ворон
companion_name_44|Celestial Lion|Небесный лев
companion_name_45|Celestial Dragon|Небесный дракон
companion_name_46|Sphinx|Сфинкс
companion_name_48|Brainrot Cat|Гниломозглый кот
companion_name_49|Demonhorn Enforcer|Демонорогий каратель
companion_name_50|Chaos Mutton|Баран Хаоса
companion_name_51|Demon Sheep|Демоническая овца
companion_name_52|Capybara|Капибара
||
angelic_realm_tutorial_1_header|Angelic Realm |Ангельское царство
angelic_realm_tutorial_2_header|Augments |Усиления
angelic_realm_tutorial_3_header|Armor Augment|Усиление доспехов
angelic_realm_tutorial_4_header|Augment Upgrade |Улучшение усилений
angelic_realm_tutorial_5_header|Angelic Keys |Ангельские ключи
angelic_realm_tutorial_1_text|[c_coin]Angelic Realm[c_reset] is a realm that allows you to Augment your Body Armor with powerful augments.[nl] While wearing an Augmented Body Armor, the augment is active.[nl] [c_coin]Be ready![c_reset] You need an [c_coin]Angelic Key[c_reset] to enter the realm and only [c_red]one action[c_reset], Augmentation or Augment Upgrade can be performed per visit. |[c_coin]Ангельское царство[c_reset] — это мир, в котором вы можете наложить на свой доспех мощные усиления.[nl] Эффект действует, пока вы носите усиленный доспех.[nl] [c_coin]Будьте готовы![c_reset] Для входа в этот мир вам понадобится [c_coin]ангельский ключ[c_reset]. За одно посещение можно совершить лишь [c_red]одно действие[c_reset]: наложение усиления или его улучшение.
angelic_realm_tutorial_2_text|On Armor Augment The [c_coin]Augments[c_reset] can be applied to your Armor, and you get two choices randomly pulled from the pool. You can replace an existing Augment any time, but you don’t keep any upgraded levels from the previous one,[nl] On Augment Upgrade, any Augment can be leveled up for a cost of Angelic Keys.[nl] If you wish to view all the different Augments, visit your [c_heroic]Journal[c_reset] and open the tab “[c_coin]Augments[c_reset]”.|В режиме «Усиление брони» вы можете наложить [c_coin]усиления[c_reset] на свой доспех, выбрав один из двух случайных вариантов. Текущее усиление можно заменить в любое время, но уровни предыдущего при этом не сохранятся.[nl] В режиме «Улучшение усиления» уровень любого усиления можно повысить за [c_coin]ангельские ключи[c_reset].[nl] Список всех доступных усилений можно просмотреть в [c_heroic]журнале[c_reset] на вкладке «[c_coin]Усиления[c_reset]».
angelic_realm_tutorial_3_text|When you talk to the [c_coin]Angel of Justice[c_reset], they offer you two choices: [c_coin]Armor Augment[c_reset] & [c_coin]Augment Upgrade[c_reset].[nl] Selecting the [c_coin]Armor Augment[c_reset] option opens the path to the left side gate of the realm and allows you passage to the [c_coin]Chest[c_reset] behind the gate. The chest opens a slot for you to insert the Body Armor of your choice to augment. [nl]The chest offers you two options for an augment, and you can choose either one.[nl] For extra cost of 5 additional keys, you can choose [c_coin]any augment[c_reset] from a list and apply it. [c_red]Be ready to enter the Angelic Realm and opening the chest![c_reset] Once the chest is opened, it is consumed. This means if you exit the chest without applying any augments, the chest and the key you entered with is [shake_word][c_red]consumed[c_reset][shake_reset], and you need another key to enter the Angelic Realm again. |Когда вы говорите с [c_coin]Ангелом Правосудия[c_reset], он предлагает два варианта: [c_coin]Усиление брони[c_reset] и [c_coin]Улучшение усиления[c_reset].[nl] Выбор [c_coin]Усиления брони[c_reset] откроет путь к левым воротам, за которыми находится [c_coin]сундук[c_reset]. Поместите в него выбранный доспех, чтобы наложить усиление.[nl] Сундук предложит два случайных варианта. За 5 дополнительных ключей вы можете выбрать [c_coin]любое усиление[c_reset] из общего списка.[nl] [c_red]Будьте внимательны при открытии сундука![c_reset] Как только вы откроете его, попытка будет считаться использованной. Если вы выйдете из меню сундука, не применив усиление, сундук и ваш ключ будут [shake_word][c_red]потрачены[c_reset][shake_reset], и для повторного входа понадобится новый ключ.
angelic_realm_tutorial_4_text|When you talk to the [c_coin]Angel of Justice[c_reset], they offer you two choices: [c_coin]Armor Augment[c_reset] & [c_coin]Augment Upgrade[c_reset].[nl] Selecting the [c_coin]Augment Upgrade[c_reset] option opens the path to the right side gate of the realm and allows you passage to the [c_coin]Chest[c_reset] behind the gate.[nl] The chest opens a slot for you to insert a Body Armor with existing [c_coin]Augment[c_reset] on it. Upgrading the [c_coin]Augment[c_reset] costs additional [c_coin]Angelic Keys[c_reset] increasing with each upgrade. The maximum level of all [c_coin]Augments[c_reset] is [c_heroic]7[c_reset], and they can not be upgraded over that.[nl] [c_red]Be ready to enter the Angelic Realm and opening the chest![c_reset] Once the chest is opened, it is consumed. This means if you exit the chest without applying any [c_coin]Augment Upgrades[c_reset], the chest and the key is [shake_word][c_red]consumed[c_reset][shake_reset], and you need another key to enter the Angelic Realm again.|Когда вы говорите с [c_coin]Ангелом Правосудия[c_reset], он предлагает два варианта: [c_coin]Усиление брони[c_reset] и [c_coin]Улучшение усиления[c_reset].[nl] Выбор [c_coin]Улучшения усиления[c_reset] откроет путь к правым воротам, за которыми находится [c_coin]сундук[c_reset].[nl] Поместите в него доспех с уже имеющимся [c_coin]усилением[c_reset]. Повышение уровня стоит дополнительных [c_coin]ангельских ключей[c_reset], и цена растет с каждым улучшением. Максимальный уровень всех усилений — [c_heroic]7[c_reset].[nl] [c_red]Будьте внимательны при открытии сундука![c_reset] Как только вы откроете его, попытка будет считаться использованной. Если вы выйдете, не улучшив усиление, сундук и ключ будут [shake_word][c_red]потрачены[c_reset][shake_reset], и для повторного входа понадобится новый ключ.
angelic_realm_tutorial_5_text|[c_coin]Angelic Keys[c_reset] can only drop from [shake_word][c_red]Fallen Angels[c_reset][shake_reset].[nl] They are strong enemies that can be found anywhere from the world on Hell difficulty. You can recognize them from the [c_yellow]Golden Aura[c_reset] around them.[nl] One [c_coin]Angelic Key[c_reset] grants passage for [shake_word][c_red]one[c_reset][shake_reset] visit in [c_coin]Angelic Realm[c_reset].[nl] You can also access [c_coin]Angelic Realm[c_reset] without a key if Heimdall offers you passage via the [shake_word][c_yellow]Bifröst[c_reset][shake_reset]!|[c_coin]Ангельские ключи[c_reset] можно добыть только с [shake_word][c_red]Падших ангелов[c_reset][shake_reset].[nl] Это опасные противники, которых можно встретить в любом уголке мира на сложности «Ад». Их легко узнать по [c_yellow]золотой ауре[c_reset].[nl] Один [c_coin]ангельский ключ[c_reset] дает право на [shake_word][c_red]одно[c_reset][shake_reset] посещение [c_coin]Ангельского царства[c_reset].[nl] Вы также можете попасть сюда без ключа, если Хеймдалль предложит вам пройти через [shake_word][c_yellow]Биврёст[c_reset][shake_reset]!
angelic_realm_exit_prompt|Are you sure you want to exit Angelic Realm? You need another Angelic Key to re-enter.|Вы уверены, что хотите покинуть Ангельское царство? Для повторного входа вам понадобится новый ангельский ключ.
||
to_cancel|To Cancel|Для отмены
overwrite_inputs|This would overwrite inputs|Это перезапишет текущие настройки ввода
to_accept|To Accept|Принять
season_end_blackbox|[c_yellow]Season is coming to an end![c_reset][nl]At the end of the season:[nl]- Seasonal characters are moved into non-season[nl]- Personal Stashes are moved to non-season[nl][c_red]- Seasonal Shared Stashes are wiped![nl]- Guild Stash is wiped![c_reset][nl][nl]To keep the items in your Stash, move them to the Personal Stash or character's inventory!|[c_yellow]Сезон подходит к концу![c_reset][nl]В конце сезона:[nl]- сезонные персонажи переводятся в обычный режим[nl]- личные тайники переводятся в обычный режим[nl][c_red]- общие сезонные тайники будут очищены![nl]- тайник гильдии будет очищен![c_reset][nl][nl]Чтобы сохранить предметы, переместите их в личный тайник или в инвентарь персонажа!
se_starts_in|starts in|начинается через
time_hour|hour|час
time_hours|hours|часов
time_day|day|день
time_days|days|дней
move|Move|Переместить
equip_use|Equip/Use|Экипировать/Использовать
navigate|Navigate|Навигация
quick_move|Quick Move|Быстрое перемещение
compare|Compare|Сравнить
press_to_sort|Press To Sort|Нажмите для сортировки
||
guild_link_info|You can embed one clickable link to show below your guild description.[nl]Use this feature wisely![nl]Maybe a link to your guilds website or voice chat server?|вы можете добавить одну интерактивную ссылку под описанием вашей гильдии.[nl]Используйте эту возможность с умом![nl]Например, ссылку на сайт гильдии или сервер голосового чата.
community_quest|Community Quest|Задание сообщества
community_quest_info|Community Quests are weekly quests in which all the players on Hell difficulty progress the quest automatically. On completion the reward buff will be active for all players on all difficulties until the weekly quest resets on Friday.|Задания сообщества — это еженедельные испытания, прогресс в которых автоматически вносят все игроки на сложности «Ад». После завершения все игроки на всех сложностях получат усиление, которое действует до сброса заданий в пятницу.
chat_region_info|Select the general chat region. Other users in the same chat region can chat together, regardless of their login or game server region.|Выберите регион общего чата. Вы сможете общаться с игроками из того же региона независимо от того, в каком регионе находится игровой сервер.
server_region_info|Select the game server region. Prefer the region closest to you for optimal online experience. Other users can find your game regardless of their login or chat region.|Выберите регион игрового сервера. Для лучшего качества соединения выбирайте ближайший к вам регион. Другие игроки смогут найти вашу игру независимо от их региона чата.
uber_sung_lee_killed|The war is already over...|Война уже окончена...
username_profanity|Username contains profanity, please choose another name.|Имя пользователя содержит недопустимые слова, пожалуйста, выберите другое.
select|Select|Выбрать
||
login_ps5_prompt|In order to play Hero Siege online, you will need a PanicNet™ account. You can create a new account which will be linked to your account for PlayStation™Network or you can log in and link an existing Panicnet account.|Для игры в Hero Siege по сети вам понадобится учетная запись PanicNet™. вы можете создать новую учетную запись, которая будет связана с вашим аккаунтом PlayStation™Network, или привязать уже существующий аккаунт PanicNet.
login_ps5_prompt_existing|Important: When you successfully log in to an existing PanicNet account, this PanicNet account will automatically be linked to this account for PlayStation™Network. This linking cannot be reversed or changed, which means that you will not be able to access another Panicnet account using this account for PlayStation™Network.|Важно: после успешного входа в существующую учетную запись PanicNet она будет автоматически привязана к вашему аккаунту PlayStation™Network. Эту привязку нельзя отменить или изменить, вы не сможете использовать другой аккаунт PanicNet через этот профиль PlayStation™Network.
login_ps5_prompt_create|Important: Your account for PlayStation™Network will be automatically linked to a new PanicNet account at creation. This linking cannot be reversed or changed once the process is complete, which means that you will not be able to access another Panicnet account using this account for PlayStation™Network.|Важно: ваш аккаунт PlayStation™Network будет автоматически привязан к новой учетной записи PanicNet при её создании. Эту привязку нельзя отменить или изменить, вы не сможете использовать другой аккаунт PanicNet через этот профиль PlayStation™Network.
login_account_link_prompt|Your [c_panicnet]PanicNet[c_reset] account is in an [c_orange]unlinked[c_reset] state. Would you like to link this [c_panicnet]PanicNet[c_reset] and [platform_name] account? This is a one time process, after which you gain the following benefits:[c_lime][nl]- Autologin[nl]- Access to the Tarethiel Market and Mailbox[nl]- Unlimited Trading[nl]- Hero Siege Chat[nl][c_reset][nl][c_yellow]Please note:[c_reset] Account linking is a permanent operation and exclusive to only one link per platform; by linking this account you can not link this [c_panicnet]PanicNet[c_reset] account to another [platform_name] account nor link this [platform_name] account to another [c_panicnet]PanicNet[c_reset] account.[nl]After the link is established only this [platform_name] account can login to the [c_panicnet]PanicNet[c_reset] account via [platform_name].|Ваша учетная запись [c_panicnet]PanicNet[c_reset] [c_orange]не привязана[c_reset]. Хотите связать аккаунты [c_panicnet]PanicNet[c_reset] и [platform_name]? Это разовая процедура, которая дает следующие преимущества:[c_lime][nl]- автоматический вход[nl]- доступ к рынку Таретиэль и почте[nl]- неограниченная торговля[nl]- чат Hero Siege[nl][c_reset][nl][c_yellow]Обратите внимание:[c_reset] привязка является постоянной и возможна только для одной учетной записи на платформу. вы не сможете связать этот аккаунт [c_panicnet]PanicNet[c_reset] с другим профилем [platform_name] или привязать к [platform_name] другой аккаунт [c_panicnet]PanicNet[c_reset].[nl]После этого вход в PanicNet через [platform_name] будет возможен только с этого профиля.
login_account_link_confirm_prompt|Are you absolutely sure you wish to link these accounts, This action is irreversible and can be done only once.|вы абсолютно уверены, что хотите связать эти учетные записи? Это действие необратимо.
register_account_link_info_psn|To play Hero Siege online, your registered PanicNet account must be linked to your account for PlayStation™Network.[nl][nl][c_yellow]Important:[c_reset][nl][nl]Each PanicNet account can only be linked to one account per platform. [nl][nl]These links are permanent and cannot be changed later.[nl][nl][nl][nl][c_yellow]If you already have an unlinked PanicNet account[c_reset], simply log in to it and complete the linking - no need to register a new one. |Для игры в Hero Siege по сети ваша учетная запись PanicNet должна быть связана с аккаунтом PlayStation™Network.[nl][nl][c_yellow]Важно:[c_reset][nl][nl]Аккаунт PanicNet можно привязать только к одному профилю на каждой платформе. [nl][nl]Эта связь постоянна и не может быть изменена позже.[nl][nl][nl][nl][c_yellow]Если у вас уже есть аккаунт PanicNet[c_reset], просто войдите в него для завершения привязки — регистрировать новый не нужно.
