[npc]|en|ru
fortune_teller_4|Visit me again once the stars are aligned, you will be granted safe passage!|Приходи снова, когда звезды сойдутся, и путь будет безопасен!
fortune_teller_5|See you later traveler! I will be here, waiting to fullfill your fortune..|До встречи, путник! Я буду ждать здесь, чтобы исполнить твою судьбу...
||
quest_krampus_1|A letter from North Pole just arrived, Santa is in trouble! I'm sending an expedition to investigate the situation. Are you in? |Только что прибыло письмо с Северного полюса, Санта в беде! Я отправляю экспедицию, чтобы разобраться в ситуации. Ты с нами?
quest_krampus_2|So how was Santa?|Ну, как там Санта?
quest_xmas_snowman_fanfare|Merry Christmas [heroname]! You have brought tremendous joy to the residents of Inoya!|Счастливого Рождества, [heroname]! Ты принес огромную радость жителям Инойи!
quest_xmas_annihilation|We need to decorate the town for the holidays, [heroname]! And we need your help! First things first, we ordered a ton of [c_aqua]Candy Canes[c_reset] from Danethrope, but the foul creatures of the lands between us intercepted the shipment and mauled the carriage driver to death! Never mind him, he sucked at his job, but now we need those [c_aqua]Candy Canes[c_reset] back! Help us, please!|Нам нужно украсить город к праздникам, [heroname]! И нам нужна твоя помощь! Первым делом мы заказали тонну [c_aqua]Леденцов[c_reset] из Дейнторпа, но мерзкие твари перехватили груз и растерзали возницу! Да и черт с ним, работник он был так себе, но нам нужно вернуть [c_aqua]Леденцы[c_reset]! Помоги нам, пожалуйста!
quest_xmas_annihilation_complete|Perfect! A hundred [c_aqua]Candy Canes[c_reset] will do nicely. Thank you, hero!|Идеально! Сотни [c_aqua]Леденцов[c_reset] будет вполне достаточно. Спасибо, герой!
quest_xmas_stockings|My [c_aqua]Christmas stockings [c_reset]have been stolen! Help me once more, [heroname]? Surely the Mayor of the town will lose all credibility without his [c_yellow]funny[c_lime] colored [c_green]socks[c_reset]. This is a disaster! Will you help?|Мои [c_aqua]Рождественские чулки[c_reset] украли! Поможешь мне еще раз, [heroname]? Мэр города потеряет всякое уважение без своих [c_yellow]смешных[c_lime] цветных [c_green]носков[c_reset]. Это катастрофа! Поможешь?
quest_xmas_stockings_complete|Thank you, authority restored and feet warmed! My grandmother made them. Aren’t they nice?|Спасибо, авторитет восстановлен, а ноги в тепле! Их связала моя бабушка. Разве они не прелесть?
quest_xmas_stockings_complete_2|Thank you, [heroname]. I heard from a celestial being that in another universe these are something called [c_aqua]programmer socks[c_reset]. I do not know what that means.|Спасибо, [heroname]. Я слышал от небесного существа, что в другой вселенной их называют [c_aqua]носками программиста[c_reset]. Не знаю, что это значит.
quest_xmas_snowman|Hey! My name is [c_yellow]a letter[c_reset]. Just kidding. I am actually a [c_purple][shake_letter]magical letter[shake_reset][c_reset], summoned by the spirit of Christmas! My request to you, dear friend, is for you to build me! One who reads this letter gets the power to bring me to life. Collect snowballs and build a snowman!|Эй! Меня зовут [c_yellow]Письмо[c_reset]. Шучу. На самом деле я [c_purple][shake_letter]волшебное письмо[shake_reset][c_reset], призванное духом Рождества! Моя просьба к тебе, дорогой друг: построй меня! Тот, кто читает это письмо, обретает силу оживить меня. Собери снежки и слепи снеговика!
quest_xmas_snowman_complete|And just like that, I have come to life! Thank you.|И вот так просто я ожил! Спасибо.
quest_xmas_snowmanhead|Something is not quite right. Do not ask how I can talk without a head. I just can. But I would still like to get my [c_aqua]head[c_reset] back. [c_red]The Reaper[c_reset] has it. That evil death bringer always tries to find new ways to decimate my existence, but you can not destroy the spirits of Christmas! Would you do me a favor and get me back my [c_aqua]head[c_reset]?|Что-то не так. Не спрашивай, как я говорю без головы. Просто могу. Но я все же хотел бы вернуть свою [c_aqua]голову[c_reset]. Она у [c_red]Жнеца[c_reset]. Этот злобный вестник смерти вечно пытается уничтожить меня, но дух Рождества не убить! Сделай одолжение, верни мне мою [c_aqua]голову[c_reset]?
quest_xmas_snowmanhead_complete|Much better. You are brilliant, [heroname]! Did the Reaper take a bite out of my nose?|Намного лучше. Ты гений, [heroname]! Жнец что, откусил мне кусок носа?
quest_xmas_snowballfight|I have a little something for you to try, just for fun! It is a [c_yellow]Snowball Relic[c_reset]. Take it out for a test drive will you?|У меня есть для тебя кое-что забавное! Это [c_yellow]Снежная реликвия[c_reset]. Опробуешь ее в деле?
quest_xmas_snowballfight_complete|Was it as fun as I had imagined?|Ну как, было так же весело, как я представлял?
quest_xmas_lights|I was just talking to the Mayor. He said that the town still needs some Christmas decorations and I agree! First we need decoration [c_aqua]lights[c_reset]! For some reason the monsters and creatures in the desert really like those lights and I don’t know where to get more of them in such a short notice. Maybe it would be easier just to borrow those lights from the monsters, what do you say [heroname]?|Я тут говорил с мэром. Он сказал, что городу все еще нужны украшения, и я согласен! Сначала нам нужны [c_aqua]гирлянды[c_reset]! Почему-то монстры в пустыне их обожают, а я не знаю, где достать новые так быстро. Может, просто одолжим их у монстров? Что скажешь, [heroname]?
quest_xmas_lights_complete|Excellent. Now we just need a Christmas tree!|Отлично. Теперь нам нужна только рождественская елка!
quest_xmas_tree|Look I really do not know why, but apparently [c_red]Anubis[c_reset] has a [c_aqua]Christmas tree[c_reset] in his possession. Mayor Kukkonen wants exactly THAT [c_aqua]Christmas tree[c_reset]. I don’t get it, but that’s how it is. Can you help stea- I mean borrow it from [c_red]Anubis[c_reset]?|Слушай, я правда не знаю почему, но, видимо, у [c_red]Анубиса[c_reset] есть [c_aqua]рождественская елка[c_reset]. Мэр Кукконен хочет именно ЭТУ [c_aqua]елку[c_reset]. Не понимаю зачем, но что поделать. Поможешь укра... то есть одолжить ее у [c_red]Анубиса[c_reset]?
quest_xmas_tree_complete|Great. Let’s put it on display! These lights go nicely with the tree…|Здорово. Давай выставим ее напоказ! Эти гирлянды отлично смотрятся на елке...
quest_xmas_decorations|The lights are nice on the tree, but I feel like we could do more! I made you another [c_yellow]relic[c_reset]. With this you could [c_purple]yoink[c_reset] any items that would go nicely as decorations for the tree. Try it on a monster!|Гирлянды на елке хороши, но мне кажется, этого мало! Я сделал для тебя еще одну [c_yellow]реликвию[c_reset]. С ее помощью ты сможешь [c_purple]стащить[c_reset] любые предметы, которые сойдут за елочные игрушки. Опробуй на монстрах!
quest_xmas_decorations_complete|The tree is looking beautiful! Thanks, [heroname].|Елка выглядит прекрасно! Спасибо, [heroname].
quest_xmas_star|One more final touch, and the [c_aqua]Christmas tree[c_reset] is complete! The tree needs a [c_aqua]star[c_reset] on top of it, wouldn’t you agree? Can you help and go find a [c_aqua]star[c_reset] for the tree, [heroname]?|Последний штрих, и [c_aqua]рождественская елка[c_reset] будет готова! Ей нужна [c_aqua]звезда[c_reset] на верхушку, согласен? Поможешь найти [c_aqua]звезду[c_reset] для елки, [heroname]?
quest_xmas_star_complete|[shake_letter]IT IS BEAUTIFUL![shake_reset] Thank you, [heroname]. With the [c_aqua]star[c_reset] on top of the tree, the Christmas spirit is officially here!|[shake_letter]ОНА ПРЕКРАСНА![shake_reset] Спасибо, [heroname]. Теперь, когда на верхушке сияет [c_aqua]звезда[c_reset], дух Рождества официально с нами!
xmas_snowman_fanfare|[shake_letter][c_yellow]CHRISTMAS [c_lime] IS [c_aqua] HERE[c_reset]![shake_reset] Thank you [heroname]! You have brought light to the hearts of the people of Inoya!|[shake_letter][c_yellow]РОЖДЕСТВО [c_lime] [c_aqua] ПРИШЛО[c_reset]![shake_reset] Спасибо, [heroname]! Ты принес свет в сердца жителей Инойи!
|| 
xor_found_dialog|[shake_letter][c_red]YOU WILL NEVER TAKE ME ALIVE! DIE![c_reset][shake_reset]|[shake_letter][c_red]ТЫ НИКОГДА НЕ ВОЗЬМЕШЬ МЕНЯ ЖИВЫМ! УМРИ![c_reset][shake_reset]
bb_anitas_amulet_complete|You leave the Amulet to the small container by the bounty board’s side. Anita will surely be happy to have her amulet back!|Вы кладете Амулет в небольшой контейнер сбоку от Доски розыска. Анита наверняка обрадуется возвращению своего амулета!
bb_wanted_xor_complete|Mayor Kukkonen has posted a small note on top of the Wanted poster. It reads “Thank you, [heroname]! I have a feeling that this is not the last we have seen of these evil creatures, but you have done a good job warning them what will come should they be a problem again!|Мэр Кукконен прикрепил небольшую записку поверх плаката о розыске. В ней сказано: «Спасибо, [heroname]! Чувствую, мы еще встретимся с этими злобными тварями, но ты отлично показал им, что их ждет, если они снова станут проблемой!»
bb_afwul_abominations_complete|The Bounty Board is emptied, as you have done a great job handling Gar Nor’s assignment.|Доска розыска пуста, так как вы отлично справились с заданием Гар Нора.
bb_chaos_tower_complete|Um has left a note which simply reads “You are the best!”|Ум оставил записку, в которой просто сказано: «Ты лучший!»
dialog_dailyFalseProphet|Good evening [heroname]. I see you have taken an interest on my [c_aqua]quest[c_reset]. Very well. There is a false prophet named Luthor who has made it his mission to turn the good people of these lands to worship him and his malicious cult’s agenda. When last confronted by me and a few others he went into hiding to [c_red]The Cathedral[c_reset]. It would be very convenient if he was to be found and [shake_letter][c_yellow]an accident[c_reset][shake_reset] were to happen to him. I hear the Cathedrals [c_yellow]windows[c_reset] are not in a very good shape. Accidents happen.|Добрый вечер, [heroname]. Вижу, тебя заинтересовало мое [c_aqua]задание[c_reset]. Отлично. Есть один лжепророк по имени Лютор, который вознамерился заставить добрых людей этих земель поклоняться ему и его злобному культу. Когда мы попытались его прижать, он скрылся в [c_red]Соборе[c_reset]. Было бы очень кстати, если бы его нашли и с ним произошел [shake_letter][c_yellow]несчастный случай[c_reset][shake_reset]. Я слышал, что [c_yellow]окна[c_reset] в Соборе не в лучшем состоянии. Несчастные случаи ведь бывают.
false_prophet_dialog_1|You there! The House of Luthor welcomes you as a new member! We are the divine, we are the chosen! Join us!|Эй, ты! Дом Лютора приветствует тебя как нового послушника! Мы божественны, мы избранные! Присоединяйся к нам!
false_prophet_dialog_2|What are you doing!? Put me down this instant! Touching Luthor is a cardinal sin!|Что ты делаешь?! Поставь меня на место сию же секунду! Прикасаться к Лютору — смертный грех!
false_prophet_dialog_3|You want gold? I have lots of gold! Just put me down and we can talk!|Хочешь золота? У меня куча золота! Только поставь меня, и мы поговорим!
false_prophet_dialog_4|The one true God speaks to me! You will burn in the depths of Hell for all eternity if you do not calm down!|Со мной говорит единый истинный Бог! Ты будешь гореть в глубинах Ада вечность, если не успокоишься!
false_prophet_dialog_5|PLEASE LET ME GO!|ПОЖАЛУЙСТА, ОТПУСТИ МЕНЯ!
false_prophet_fall|NOOOoooo....|НЕЕЕЕееет....
false_prophet_fail|I knew you would see reason! I forgive you for I am Luthor, the voice of the one true God!|Я знал, что ты одумаешься! Я прощаю тебя, ибо я Лютор, глас единого истинного Бога!
||
challenge_npc_dialog|You look like you have some real guts. Up for a challenge?|Похоже, ты не робкого десятка. Готов к испытанию?
grind_gem_info|The book contains multiple pages on different gemstones. Which one would you like to see?|В книге множество страниц о разных самоцветах. О каком вы хотите узнать?
grind_gem_info_1|Gurag's Soul Gem gives its wielder guarding powers.|Камень души Гурага дарует владельцу защитные силы.
grind_gem_info_2|Reaper's Soul Gem gives its wielder chilling powers.|Камень души Жнеца дарует владельцу леденящие силы.
grind_gem_info_3|Anubis' Soul Gem gives its wielder tailwind powers.|Камень души Анубиса дарует владельцу силу попутного ветра.
grind_gem_info_4|Damien's Soul Gem gives its wielder toxic powers.|Камень души Дэмиена дарует владельцу токсичные силы.
grind_gem_info_5|Karp King's Soul Gem gives its wielder electrifying powers.|Камень души Короля Карпов дарует владельцу электризующие силы.
grind_gem_info_6|Satan's Soul Gem gives its wielder fiery powers.|Камень души Сатаны дарует владельцу огненные силы.
grind_gem_info_7|Mevius' Soul Gem gives its wielder mystical powers.|Камень души Мевиуса дарует владельцу мистические силы.
grind_gem_info_8|Odin's Soul Gem gives its wielder destructive powers.|Камень души Одина дарует владельцу разрушительные силы.
||
valhalla_grind_0|Greetings, Hero! I am very excited to be meeting you, as I need the help of a great adventurer! I recently got my hands on this book, the Book of Soulforge. It contains instructions for forging very powerful magic into objects, but some pages are missing! Help me to find these missing pages and as a reward I will create you the mightiest, magical ring to help you on your Hero's journey! I have information that the stone king himself, Gurag, might be in posession of a page. That's where I would start looking.|Приветствую, Герой! Я так рад встрече, мне как раз нужна помощь великого искателя приключений! Недавно мне в руки попала эта книга — Книга Кузни Душ. В ней описано, как наделять предметы мощнейшей магией, но некоторых страниц не хватает! Помоги мне найти их, и в награду я создам для тебя могущественное магическое кольцо! У меня есть сведения, что сам каменный король, Гураг, владеет одной страницей. Я бы начал поиски с него.
valhalla_grind_0_complete|Excellent work, [heroname]! I have a few old friends of mine trying to find more information about the rest of the page's whereabouts. Come talk to me later!|Отличная работа, [heroname]! Несколько моих старых друзей пытаются разузнать, где находятся остальные страницы. Поговорим позже!
valhalla_grind_1|I just learned that one of the pages is in the posession of death itself! Head north and try to find it! What pattern? There surely is not a pattern here when it comes to the pages locations…|Я только что узнал, что одна из страниц находится у самой смерти! Отправляйся на север и попытайся найти её! Какая закономерность? Тут уж точно нет никакой закономерности в расположении страниц...
valhalla_grind_1_complete|WHOOOAAAAA! I did not honestly think you could find so much braggite this quickly! This amount of precious minerals is giving me a tingling sensation… Right! So! Awesome Ring! The thing is, we still need some [c_yellow]essence of the gods[c_reset], but that should be easy to come up with. A lot easier than this… precious… mineral… oh boy.|ОГО-ГО-О! Я, честно говоря, не думал, что ты найдешь столько браггита так быстро! От такого количества драгоценных минералов у меня аж мурашки по коже... Точно! Итак! Крутое Кольцо! Дело в том, что нам еще нужна [c_yellow]эссенция богов[c_reset], но это должно быть легко. Намного легче, чем этот... драгоценный... минерал... о божечки.
valhalla_grind_2|You are truly a great warrior, [heroname]. We'll be sure to find the rest of the pages in no time! My guys are reporting back later for more page locations! I'd send my dog Mörski to sniff around a little bit as well, but he has been kinda quiet lately…|Ты истинно великий воин, [heroname]. Мы наверняка найдем остальные страницы в два счета! Мои ребята скоро сообщат о новых местах! Я бы отправил своего пса Мёрски тоже понюхать тут и там, но он что-то притих в последнее время...
valhalla_grind_2_complete|Well well well. Look who's got the essence of the gods! I don't think you'd even need this ring! But a promise is a promise. Now I'll just have to use the 25 braggites and 5 essences you got me and the ring is ready! Did I say 25 and 5? No no, I meant ummh… 50 braggites and 7 essences. Yeah that sounds about right. No way I was sending you to get excess amounts of stuff for me to enjoy all by myself… hehe.|Ну-ну-ну. Смотрите, кто раздобыл эссенцию богов! Думаю, тебе даже кольцо-то не нужно! Но обещание есть обещание. Теперь мне просто нужно взять те 25 браггитов и 5 эссенций, что ты принес, и кольцо готово! Я сказал 25 и 5? Нет-нет, я имел в виду, эм... 50 браггитов и 7 эссенций. Да, точно. Не мог же я послать тебя добывать лишнее, чтобы забрать это себе... хе-хе.
valhalla_grind_3|Uhmm... A small problem. The ring is missing something. A third, final component to unlock its true potential. The base of the ring is super sexy… but we want more. The whole package! I think I know what the ring is missing. The stone! And like with all gemstones, size matters. And quality too, I guess. Let me think…A-ha! Yes. Yes. Here! [c_aqua]Look at this scroll![c_reset] Get me a [c_yellow]gemstone[c_reset] and we will talk again!|Эм... Небольшая проблема. Кольцу кое-чего не хватает. Третий, последний компонент, чтобы раскрыть его истинный потенциал. Основа кольца чертовски хороша... но мы хотим большего. Полный комплект! Думаю, я знаю, чего не хватает. Камня! И, как и со всеми самоцветами, размер имеет значение. Ну и качество, наверное. Дай подумать... Ага! Да. Да. Вот! [c_aqua]Взгляни на этот свиток![c_reset] Достань мне [c_yellow]самоцвет[c_reset], и тогда поговорим!
valhalla_grind_3_complete|You did it! This is beautiful… so, so pretty. You have done an exceedingly awesome job collecting these awesome parts for the awesome ring. It's all just awesome. If anyone deserves this ring, it's you. Take it. Take it, take it, take it! Mörski, my loyal cave dog, we're back in the BS game!|Ты сделал это! Это прекрасно... так, так красиво. Ты проделал невероятно крутую работу, собирая эти крутые части для крутого кольца. Все просто круто. Если кто и заслуживает это кольцо, так это ты. Бери. Бери, бери, бери! Мёрски, мой верный пещерный пес, мы снова в деле!
orre_npc_name|Örre|Эрре
valhalla_grind_inprogress_0|Hi duuude!|Привет, чувааак!
valhalla_grind_inprogress_1|My loyal dog [c_red]Mörski[c_reset] has been a bit quiet lately. I guess its the cave depressing him. Say hello to the nice Hero, [c_red]Mörski![c_white]|Мой верный пес [c_red]Мёрски[c_reset] что-то притих в последнее время. Наверное, пещера нагоняет на него тоску. Поздоровайся с хорошим Героем, [c_red]Мёрски![c_white]
valhalla_grind_inprogress_2|The [c_yellow]essence of the gods[c_reset] is very rare, but I trust your ability to get it without aaaaany problems.|[c_yellow]Эссенция богов[c_reset] очень редкая, но я верю в твою способность достать ее без какиииих-либо проблем.
valhalla_grind_inprogress_3|Well, did you get a good look at the scroll yet?|Ну что, ты уже изучил свиток?
valhalla_grind_inprogress_4|I wonder what happened to my half brother Hurrdurr. Maybe I should go look for him.|Интересно, что случилось с моим сводным братом Хуррдурром. Может, мне стоит пойти поискать его.
||
grind_key_name|Mysterious Key|Таинственный ключ
grind_key_dialog|As you inspect the mysterious key you find an engraved text written on its handle: “If lost, return to Örre in Dhorn Farum”.|Осматривая таинственный ключ, вы замечаете гравировку на рукоятке: «При утере вернуть Эрре в Дорн Фарум».
grind_key_complete|There is a sturdy keyhole made out of stone and a quartz of some kind. The key seems to fit in perfectly.|Здесь прочная замочная скважина из камня и какого-то кварца. Кажется, ключ идеально подходит.
grind_0|Greetings, Hero! I am very excited to be meeting you, as I need the help of a great adventurer! I recently got my hands on this book, the Book of Soulforge. It contains instructions for forging very powerful magic into objects, but some pages are missing! Help me to find these missing pages and as a reward I will create you the mightiest, magical ring to help you on your Hero's journey! I have information that the stone king himself, Gurag, might be in posession of a page. That's where I would start looking.|Приветствую, Герой! Я так рад встрече, мне как раз нужна помощь великого искателя приключений! Недавно мне в руки попала эта книга — Книга Кузни Душ. В ней описано, как наделять предметы мощнейшей магией, но некоторых страниц не хватает! Помоги мне найти их, и в награду я создам для тебя могущественное магическое кольцо! У меня есть сведения, что сам каменный король, Гураг, владеет одной страницей. Я бы начал поиски с него.
grind_0_complete|Excellent work, [heroname]! I have a few old friends of mine trying to find more information about the rest of the page's whereabouts. Come talk to me later!|Отличная работа, [heroname]! Несколько моих старых друзей пытаются разузнать, где находятся остальные страницы. Поговорим позже!
grind_1|I just learned that one of the pages is in the posession of death itself! Head north and try to find it! What pattern? There surely is not a pattern here when it comes to the pages locations…|Я только что узнал, что одна из страниц находится у самой смерти! Отправляйся на север и попытайся найти её! Какая закономерность? Тут уж точно нет никакой закономерности в расположении страниц...
grind_1_complete|You are truly a great warrior, [heroname]. We'll be sure to find the rest of the pages in no time! My guys are reporting back later for more page locations! I'd send my dog Mörski to sniff around a little bit as well, but he has been kinda quiet lately…|Ты истинно великий воин, [heroname]. Мы наверняка найдем остальные страницы в два счета! Мои ребята скоро сообщат о новых местах! Я бы отправил своего пса Мёрски тоже понюхать тут и там, но он что-то притих в последнее время...
grind_2|Thank god you're here [heroname]. My friend Hurnir was certain that one of the pages was inside the Pyramid and went to look for it. I have not heard back from him since and I am getting worried. Please get to the Pyramid with haste and see if he needs help!|Слава богам, ты здесь, [heroname]. Мой друг Хурнир был уверен, что одна из страниц находится внутри Пирамиды, и отправился на поиски. С тех пор от него ни слуху ни духу, и я начинаю волноваться. Пожалуйста, поспеши к Пирамиде и проверь, не нужна ли ему помощь!
grind_2_complete|I knew I could count on you! Thank you, [heroname]. Hurnir is back on his feet and searching for additional pages. I'll let you know more as soon as he reports back.|Я знал, что могу на тебя рассчитывать! Спасибо, [heroname]. Хурнир снова в строю и ищет остальные страницы. Я дам знать, как только он выйдет на связь.
grind_3|Another day, another page found! It's somewhere in Damien's domain. Do you have what it takes, [heroname]?|Новый день — новая страница! Она где-то во владениях Дэмиена. Справишься ли ты, [heroname]?
grind_3_complete|Once again, marvelous work! We're only missing two pages!|Снова превосходная работа! Нам не хватает всего двух страниц!
grind_4|A fisherman from Shujo Retreat, Aki I believe was his name, had page 15. He said he would have sold it to me, but it was swallowed by [c_yellow]THE BIGGEST KARP EVER[c_reset] when a storm rocked his boat and his belongins dropped into the depths of the Karponian sea. Now, I know that fishermen always exaggerate their stories, but that's what we got to go with. See if you can find the page?|Один рыбак из Убежища Сюдзё, кажется, его звали Аки, владел 15-й страницей. Он сказал, что продал бы ее мне, но ее проглотил [c_yellow]САМЫЙ ОГРОМНЫЙ КАРП[c_reset], когда шторм качнул его лодку и его пожитки упали в пучины Карпонийского моря. Знаю, рыбаки вечно преувеличивают, но другой зацепки у нас нет. Попробуешь найти страницу?
grind_4_complete|Getting very excited here, [heroname]! Just one more page to go!|Я уже весь в нетерпении, [heroname]! Осталась всего одна страница!
grind_5|Great timing! Good news and bad news: The good news is that I know where the last page is. Bad news is that that place is the Seventh Layer of Hell. That's right, Hell! Satan himself has it! I don't know, [heroname]. Is the last page worth it? I completely understand if you have doubts, but the page also contains key information without which the book is useless.|Как раз вовремя! У меня есть хорошая новость и плохая. Хорошая: я знаю, где последняя страница. Плохая: это место — Седьмой круг Ада. Да, Ада! Она у самого Сатаны! Не знаю, [heroname], стоит ли оно того? Я пойму, если ты сомневаешься, но эта страница содержит ключевую информацию, без которой книга бесполезна.
grind_5_complete|YOU BEATIFUL BASTARD! YOU DID IT! With the Book of Soulforge now complete I can not wait to learn what secrets it reveals! Here, I made you a little something as a reward for helping me. It's not that impressive, but once I learn the secrets in this book I will enchant it for you!|АХ ТЫ Ж КРАСАВЧИК! ТЫ СДЕЛАЛ ЭТО! Книга Кузни Душ собрана, и мне не терпится узнать ее секреты! Вот, я сделал для тебя кое-что в награду. Выглядит не особо впечатляюще, но как только я изучу секреты книги, я зачарую эту вещь для тебя!
grind_6|Like I promised you, I can make you a ring more powerful than any man has ever worn! As per the instructions in the Book of Soulforge, I have gathered all the materials I need, except for one: Soul essence. Soul essence can be harvested from powerful creatures all over Tarethiel, although it's very rare to find on the mostly soulless creatures that infest these lands. Anyway, I need a lot of it. A lot. Return to me with a big pile of it and the ring shall be yours!|Как я и обещал, я могу создать для тебя кольцо, мощнее которого не носил ни один смертный! Следуя инструкциям Книги, я собрал все материалы, кроме одного: Эссенции душ. Эссенцию можно добыть из могущественных существ Таретиэля, хотя она редко встречается у бездушных тварей, наводнивших эти земли. В общем, мне нужно много эссенции. Очень много. Принеси мне целую кучу, и кольцо твое!
grind_6_complete|I am sorry [heroname], I completely forgot about one more ingredient. But for a champ like you, that should be easy to handle thought!|Прости, [heroname], я совсем забыл про еще один ингредиент. Но для такого чемпиона, как ты, это должно быть проще пареной репы!
grind_7|By my hammer! I completely forgot! Maybe my old head is going soft in this cave… The ring still needs something. Souls. Not just essence, the actual souls. Not too much, but a couple of them. Ideally some strong, raw souls that once had a strong will and heart for battle. You know those piles you see laying around? Maybe, just maybe, you might find what is needed from those. Well, off you go. I’ll see you when you have them!|Клянусь молотом! Я совсем забыл! Наверное, в этой пещере мой старый мозг размяк... Кольцу нужно кое-что еще. Души. Не просто эссенция, а настоящие души. Немного, всего парочку. В идеале — сильные, необузданные души тех, кто обладал волей и храбрым сердцем. Знаешь те кучи костей, что валяются повсюду? Может быть, там ты найдешь то, что нужно. Ну, ступай. Жду тебя с душами!
grind_7_complete|Now we are ready! Let me finish that ring for you!|Теперь мы готовы! Дай мне закончить кольцо для тебя!
||
morski_alive_dialog|Vuh! I can assure that I am quite alive and definitely not a dead pile of bones. Vuh!|Вуф! Уверяю, я вполне жив и определенно не являюсь мертвой грудой костей. Вуф!
grind_inprogress_0|My associates are searching for the location of the next page. Come back later!|Мои помощники ищут местонахождение следующей страницы. Приходи позже!
grind_inprogress_1|My loyal dog [c_red]Mörski[c_reset] has been a bit quiet lately. I guess its the cave depressing him. Say hello to the nice Hero, [c_red]Mörski![c_white]|Мой верный пес [c_red]Мёрски[c_reset] что-то притих. Наверное, пещера нагоняет тоску. Поздоровайся с хорошим Героем, [c_red]Мёрски![c_white]
grind_inprogress_2|Just search a couple more piles! I think those souls are quite common, but what would I know?|Просто обыщи еще пару куч! Думаю, такие души попадаются часто, но что я знаю?
grind_inprogress_3|How do you like that ring, [heroname]?|Ну, как тебе кольцо, [heroname]?
grind_inprogress_4|So excited! I'm going to be the greatest blacksmith ever!|Так волнуюсь! Я стану величайшим кузнецом в истории!
grind_ring_lost|You managed to lose your Ring? Damn it, [heroname]. You have to be more careful. I had some leftover materials from the previous crafting, which I was hoping to save for later, but I guess I can help you out. Do you need a new [c_aqua]Soulforged Ring[c_reset]?|Ты умудрился потерять Кольцо? Черт возьми, [heroname], надо быть осторожнее. У меня остались материалы с прошлого раза, которые я хотел приберечь, но, думаю, смогу выручить тебя. Тебе нужно новое [c_aqua]Кольцо душекова[c_reset]?
grind_craft_new|Please, Örre. Make me another!|Пожалуйста, Эрре. Сделай мне еще одно!
grind_nocraft|Not now. Have a good day.|Не сейчас. Хорошего дня.
grind_craft_1|Here goes nothing, [heroname]!|Была не была, [heroname]!
grind_craft_2|Dididii... La lal laaaa|Ди-ди-дии... Ла-ла-лаааа...
grind_craft_3|Witness my skills in BS!|Узри мое мастерство в КД (Кузнечном Деле)!
||
hurnir_grind_dialog|Örre sent you to look for me? How sweet. I just need a short rest and I'll be good to go. I found the page, but I was overwhelmed by these damn monsters. I barely escaped, but they took the page and I am sure it's now in the posession of [c_red]Anubis[c_reset] himself. Go get your page, [heroname]. I'll be fine.|Эрре послал тебя искать меня? Как мило. Мне нужен лишь небольшой отдых, и я буду в порядке. Я нашел страницу, но на меня навалились эти чертовы монстры. Я еле унес ноги, но они забрали страницу. Уверен, теперь она у самого [c_red]Анубиса[c_reset]. Иди забери ее, [heroname]. Я справлюсь.
hurnir_grind_dialog_2|Go on to defeat [c_red]Anubis[c_reset] and find the page, I'll be fine.|Иди, победи [c_red]Анубиса[c_reset] и найди страницу, я буду в порядке.
||
[valhalla raven statues]||
valhalla_lore_valkyrie|[c_yellow]Valkyries[c_reset] are the ones who guide the souls of fallen Heroes into one of two realms. Half of those who die in battle are taken to Freyas afterlife, [c_lime]Fólkvangr[c_reset]. The other half go to Gods hall called [c_lime]Valhalla[c_reset]. |[c_yellow]Валькирии[c_reset] — те, кто направляет души павших Героев в одно из двух царств. Половина погибших в битве попадает в загробный мир Фрейи, [c_lime]Фолькванг[c_reset]. Другая половина отправляется в чертог богов, именуемый [c_lime]Вальхалла[c_reset].
valhalla_lore_huginn|[c_aqua]Huginn[c_reset], ''Thought'', is the brother of [c_red]Muninn[c_reset]. As one of the Odin's ravens he travels around the world, reporting back to Odin.|[c_aqua]Хугин[c_reset] («Мысль») — брат [c_red]Мунина[c_reset]. Как один из воронов Одина, он летает по всему миру, докладывая обо всем Одину.
valhalla_lore_muninn|[c_aqua]Muninn[c_reset], ''Memory'', is the brother of [c_red]Huginn[c_reset]. As one of the Odin's ravens he travels around the world, reporting back to Odin.|[c_aqua]Мунин[c_reset] («Память») — брат [c_red]Хугина[c_reset]. Как один из воронов Одина, он летает по всему миру, докладывая обо всем Одину.
valhalla_lore_trolls|[c_aqua]Trolls[c_reset] are creatures of the forest, who live under the rocks and caves. They are known for being quite dumb and very hostile against humans.|[c_aqua]Тролли[c_reset] — лесные существа, живущие под скалами и в пещерах. Известны своей глупостью и крайней враждебностью к людям.
valhalla_lore_naga|[c_aqua]Naga[c_reset] are human-snake hybrids which prefer to live near or in water. They usually live in hiding at the eastern kingdoms and it is not yet known how they traveled to and infested [c_lime]Valhalla[c_reset]. All the heroes are adviced to kill them on sight.|[c_aqua]Наги[c_reset] — гибриды человека и змеи, предпочитающие жить в воде или рядом с ней. Обычно они скрываются в восточных королевствах, и пока неизвестно, как они проникли и заполонили [c_lime]Вальхаллу[c_reset]. Всем героям рекомендуется убивать их на месте.
valhalla_lore_surtur|Warning: [c_red]Surtur[c_reset] has been imprisoned in this here cave. DO NOT APPROACH!|Внимание: В этой пещере заточен [c_red]Суртур[c_reset]. НЕ ПРИБЛИЖАТЬСЯ!
